review,voted_up,predicted_label,confidence
even when you win you de-rank,True,0,2e-05
all hacking worest game on earth,False,1,2e-05
"What, What why you are killing otehr in this game? TF? The fuck? Stop killing others and your friends what the fuck?",True,1,2e-05
I hate this game and I strongly discourage from playing it.,True,1,2e-05
Don't play this dumpster fire,False,1,2e-05
New engine but it didn't give a f**k about potato pc/laptops  Keeps freezing every single time  i know it still fresh but optimize on low mid range specs,False,1,2e-05
"The most cerebral shooter out there, while also having the highest retard percentage of its player base.",True,0,3e-05
If you love having twelve year olds telling you they fucked your mother or playing against smurfs constantly then this is your type of game!! They need to introduce some sort of system to ban smurfs from competitive games.,True,1,5e-05
"We do not talk about ""The 23.10.2025 Incident""",False,1,7e-05
too many middle age 4 year olds ,True,1,8e-05
